pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
0.21,92,1,6151396.020669828,40,39,-1,-1,-1,-1,5287,6031,11.590909957885742,75.02080261391066,20
0.21,91,1,5958662.863653448,40,40,-1,-1,-1,-1,4546,5290,11.40304684638977,77.44735307674662,20
0.21,91,1,5781862.85617342,40,41,-1,-1,-1,-1,5332,6076,11.284209489822388,79.81556777569216,20
0.2,88,1,5621693.040040943,40,42,-1,-1,-1,-1,5586,6330,11.25670075416565,82.08962378054454,20
0.21,90,1,5478784.891805871,40,43,-1,-1,-1,-1,5166,5910,11.177829504013062,84.23084238201523,20
0.2,87,1,5353701.833132613,40,44,-1,-1,-1,-1,4984,5728,10.98911166191101,86.19879870983387,20
0.22,92,1,5246937.009485423,40,45,-1,-1,-1,-1,4970,5714,10.781211853027344,87.95277432002662,20
0.21,89,1,5158911.345880695,40,46,-1,-1,-1,-1,5515,6259,10.723042488098145,89.45349817557012,20
0.22,91,1,5089971.887371576,40,47,-1,-1,-1,-1,4607,5351,10.655248165130615,90.66507180749339,20
0.2,86,1,5040390.430807553,40,48,-1,-1,-1,-1,5427,6171,10.473196506500244,91.55692857561623,20
0.2,86,1,5010362.453263421,40,49,-1,-1,-1,-1,5246,5990,10.455732345581055,92.10564524450466,20
0.2,86,1,5000006.341362302,40,50,-1,-1,-1,-1,4546,5290,10.305962562561035,92.29641627633038,20
0.22,91,1,5009362.924531185,40,51,-1,-1,-1,-1,4296,5040,10.197619199752808,92.12402327784142,20
0.2,86,1,5038395.314029104,40,52,-1,-1,-1,-1,5182,5926,10.214338302612305,91.59318352446391,20
0.21,89,1,5086989.048382625,40,53,-1,-1,-1,-1,4607,5351,10.166651010513306,90.71823475094605,20
0.21,89,1,5154952.544655244,40,54,-1,-1,-1,-1,4413,5157,10.010788440704346,89.52219495117195,20
0.22,92,1,5242017.853771545,40,55,-1,-1,-1,-1,4726,5470,9.925704002380371,88.03530997793865,20
