pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,model_head_time,model_tail_time,framework_head_time,framework_tail_time,framework_response_time,compression_time,decompression_time,overall_time
0.19,94,1,10317767.331579072,40,24,9.962464332580566,4.718560218811035,0.8885760009288788,0.031488001346588135,14.8603515625,3.687040090560913,0.058880001306533813,32.162879943847656
0.19,94,1,10003981.633553667,40,25,9.970015525817871,4.647903919219971,0.8800320029258728,0.029184000566601753,15.013440132141113,3.690016031265259,0.054655998945236206,32.32876968383789
0.19,93,1,9690180.237762727,40,26,9.949248313903809,4.5259199142456055,0.8760639876127243,0.08070400357246399,13.736607551574707,3.57260799407959,0.13363200426101685,30.910688400268555
0.19,93,1,9377600.320020882,40,27,9.951231956481934,4.463903903961182,1.2574719786643982,0.028672000393271446,13.78428840637207,3.5831360816955566,0.053247999399900436,31.31977653503418
0.19,92,1,9067474.240411792,40,28,9.9900484085083,4.540832042694092,0.8975040018558502,0.02969600073993206,13.781023979187012,3.1857919692993164,0.05471999943256378,30.613407135009766
0.19,92,1,8761024.684654275,40,29,9.98316764831543,4.7300801277160645,0.8989759683609009,0.12595200538635254,14.434880256652832,3.546560049057007,0.17043200135231018,31.67635154724121
0.2,94,1,8459459.843610039,40,30,9.976832389831543,4.546751976013184,0.9407359957695007,0.048128001391887665,13.965951919555664,3.555392026901245,0.07411199808120728,31.140384674072266
0.19,91,1,8163968.649938042,40,31,9.959712028503418,4.51907205581665,0.8858560174703598,0.029503999277949333,14.011679649353027,3.610464096069336,0.05510399863123894,31.179872512817383
0.2,93,1,7875716.090675155,40,32,9.989376068115234,4.946080207824707,0.9551040083169937,0.029759999364614487,14.891327857971191,3.441279888153076,0.057472001761198044,32.06195068359375
0.19,90,1,7595838.614223481,40,33,9.955679893493652,4.56982421875,0.9626880139112473,0.02969600073993206,14.267007827758789,3.5945279598236084,0.05532800033688545,31.543167114257812
0.2,92,1,7325439.649852519,40,34,9.99238395690918,4.545152187347412,0.8867839872837067,0.02969600073993206,14.027456283569336,3.479680061340332,0.055296000093221664,31.20742416381836
0.21,94,1,7065585.257380703,40,35,9.954848289489746,4.615839958190918,0.9108159840106964,0.03174399957060814,15.068991661071777,3.106015920639038,0.07715199887752533,31.790592193603516
