pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
0.2,91,1,6917325.727306897,40,40,-1,-1,-1,-1,6057,6801,13.756064176559448,66.71402863752874,20
0.08,62,1,6563725.712346841,40,41,-1,-1,-1,-1,5135,5879,14.149948358535767,70.30803645536018,20
0.19,87,1,6243386.080081886,40,42,-1,-1,-1,-1,7174,7918,13.88912558555603,73.9154460011568,20
0.2,89,1,5957569.783611743,40,43,-1,-1,-1,-1,6518,7262,13.524121046066284,77.46156292388328,20
0.19,86,1,5707403.666265227,40,44,-1,-1,-1,-1,5431,6175,13.038063049316406,80.85684729018803,20
0.2,88,1,5493874.018970845,40,45,-1,-1,-1,-1,5989,6733,12.775306701660156,83.99949927375931,20
0.2,87,1,5317822.691761389,40,46,-1,-1,-1,-1,6389,7133,12.541022300720215,86.78037862782007,20
0.19,83,1,5179943.774743153,40,47,-1,-1,-1,-1,4578,5322,12.249101400375366,89.09028490170229,20
0.21,89,1,5080780.861615106,40,48,-1,-1,-1,-1,5299,6043,11.813488006591797,90.8290830161819,20
0.2,86,1,5020724.906526841,40,49,-1,-1,-1,-1,5541,6285,11.7891526222229,91.91554511715002,20
0.2,86,1,5000012.682724604,40,50,-1,-1,-1,-1,4803,5547,11.568889617919922,92.29629921962433,20
0.2,86,1,5018725.84906237,40,51,-1,-1,-1,-1,5433,6177,11.45173192024231,91.95215689115271,20
0.21,89,1,5076790.628058208,40,52,-1,-1,-1,-1,5091,5835,11.368504762649536,90.90047245914816,20
0.2,87,1,5173978.09676525,40,53,-1,-1,-1,-1,5003,5747,11.29548192024231,89.19300739892653,20
0.2,87,1,5309905.089310488,40,54,-1,-1,-1,-1,5417,6161,11.133871078491211,86.90977689896752,20
0.2,88,1,5484035.70754309,40,55,-1,-1,-1,-1,5373,6117,10.985934734344482,84.15019363056192,20
