pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,feasible,sensitivity,map
0.25,100,1,14491905.949814126,40,31,-1,0.8333333333333334,0.5317460317460317
0.25,90,1,13627148.272025462,40,32,-1,1.0,0.6291666666666667
0.25,80,1,12787515.842670444,40,33,-1,1.0,0.5458333333333334
0.25,70,1,11976318.949557556,40,34,-1,1.0,0.8333333333333333
0.25,60,1,11196755.77214211,40,35,-1,1.0,0.75
0.25,50,1,10451899.77256292,40,36,-1,1.0,0.75
0.35,100,1,9744687.57838259,40,37,-1,1.0,0.6825396825396826
0.35,90,1,9077907.404804064,40,38,-1,0.6,0.3611111111111111
0.35,80,1,8454188.062009484,40,39,-1,0.8,0.4444444444444445
0.35,70,1,7875988.590960344,40,40,-1,0.6,0.3277777777777778
0.35,60,1,7345588.568520261,40,41,-1,0.6,0.3277777777777778
0.35,50,1,6865079.120122829,40,42,-1,0.6666666666666666,0.325
0,100,1,6436354.675417615,40,43,-1,1.0,0.6666666666666666
0,90,1,6061105.49939784,40,44,-1,0.8333333333333334,0.78125
0,80,1,5740811.028456267,40,45,-1,1.0,0.6666666666666666
0,70,1,5476734.037642086,40,46,-1,1.0,1.0
0,60,1,5269915.662114728,40,47,-1,0.8333333333333334,0.6979166666666666
0,50,1,5121171.292422662,40,48,-1,0.8333333333333334,0.6145833333333333
0.05,100,1,5031087.359790262,40,49,-1,1.0,0.5
0.05,90,1,5000019.0240869075,40,50,-1,1.0,0.6666666666666666
0.05,80,1,5028088.773593556,40,51,-1,1.0,0.5
0.05,70,1,5115185.942087313,40,52,-1,1.0,0.5
0.05,60,1,5260967.145147875,40,53,-1,1.0,1.0
0.05,50,1,5464857.633965731,40,54,-1,1.0,0.5
0.1,100,1,5726053.561314635,40,55,-1,0.0,0.0
0.1,90,1,6043525.150754677,40,56,-1,1.0,0.5
0.1,80,1,6416020.756571224,40,57,-1,1.0,0.5
0.1,70,1,6842071.7984432485,40,58,-1,0.0,0.0
0.1,60,1,7319998.551385863,40,59,-1,1.0,0.5
0.1,50,1,7847916.768140011,40,60,-1,1.0,0.5
0.15,100,1,8423745.107900238,40,61,-1,1.0,0.5
0.15,90,1,9045213.342092402,40,62,-1,1.0,0.5
0.15,80,1,9709871.304849759,40,63,-1,1.0,0.5
0.15,70,1,10415098.552899739,40,64,-1,1.0,0.5
0.15,60,1,11158114.696776876,40,65,-1,1.0,0.5
0.15,50,1,11935990.362630645,40,66,-1,1.0,0.5
0.2,100,1,12745658.741410851,40,67,-1,1.0,0.5
0.2,90,1,13583927.679897219,40,68,-1,1.0,0.3333333333333333
0.2,80,1,14447492.265904002,40,69,-1,1.0,0.5
0.2,70,1,15332947.858041767,40,70,-1,0.0,0.0
0.2,60,1,16236803.508665863,40,71,-1,0.0,0.0
0.2,50,1,17155495.727091204,40,72,-1,0.0,0.0
0.25,100,1,18085402.528811127,40,73,-1,0.0,0.0
0.25,90,1,19022857.715330712,40,74,-1,0.0,0.0
0.25,80,1,19964165.328315776,40,75,-1,0.5,0.16666666666666666
0.25,70,1,20905614.22107119,40,76,-1,0.0,0.0
0.25,60,1,21843492.689900126,40,77,-1,1.0,0.5
0.25,50,1,22774103.10765924,40,78,-1,1.0,0.5
0.35,100,1,23693776.50181642,40,79,-1,1.0,0.3333333333333333
0.35,90,1,24598887.019536495,40,80,-1,0.0,0.0
0.35,80,1,25485866.22276561,40,81,-1,0.0,0.0
0.35,70,1,26351217.156955346,40,82,-1,0.0,0.0
0.35,60,1,27191528.13795993,40,83,-1,0.0,0.0
0.35,50,1,28003486.2027511,40,84,-1,0.0,0.0
0,100,1,28783890.170920722,40,85,-1,1.0,0.5
0,90,1,29529663.26547541,40,86,-1,1.0,0.25
0,80,1,30237865.243165262,40,87,-1,1.0,0.2
0,70,1,30905703.98652228,40,88,-1,1.0,1.0
0,60,1,31530546.511906367,40,89,-1,1.0,1.0
0,50,1,32109929.350159258,40,90,-1,1.0,1.0
0.05,100,1,32641568.25894005,40,91,-1,1.0,1.0
0.05,90,1,33123367.228451196,40,92,-1,1.0,1.0
0.05,80,1,33553426.7450494,40,93,-1,1.0,1.0
0.05,70,1,33930051.28016173,40,94,-1,1.0,1.0
0.05,60,1,34251755.97498168,40,95,-1,1.0,1.0
