frame_id,bandwidth,mAP_drop,technique,feasibility,target_cmp,target_snr,est_cmp,est_snr,pruning_thresh,quality
45,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
46,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
47,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
48,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
49,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
50,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
51,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
52,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
53,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
54,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
55,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
56,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
57,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
58,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
59,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
60,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
61,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
62,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
63,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
64,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
65,12847800.0,0.25,1,-1,43.1030370958452,14,-1,-1,-1,-1
66,12847800.0,0.25,1,-1,43.1030370958452,14,-1,-1,-1,-1
67,8351070.0,0.25,1,-1,66.31236476283878,14,-1,-1,-1,-1
68,8351070.0,0.25,1,-1,66.31236476283878,14,-1,-1,-1,-1
69,8351070.0,0.25,1,-1,66.31236476283878,14,-1,-1,-1,-1
70,8351070.0,0.25,1,-1,66.31236476283878,14,-1,-1,-1,-1
71,8351070.0,0.25,1,-1,66.31236476283878,14,-1,-1,-1,-1
72,12847800.0,0.25,1,-1,43.1030370958452,14,-1,-1,-1,-1
73,12847800.0,0.25,1,-1,43.1030370958452,14,-1,-1,-1,-1
74,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
75,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
76,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
77,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
78,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
79,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
80,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
