pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,model_head_time,model_tail_time,framework_head_time,framework_tail_time,framework_response_time,compression_time,decompression_time,overall_time
0.15,80,1,48072185.0,0.25,21,9.886272430419922,4.725791931152344,1.3689599931240082,0.02937600016593933,16.459232330322266,3.859679937362671,0.0560000017285347,36.481407165527344
0.15,70,1,48072185.0,0.25,22,9.915616035461426,4.507999897003174,1.2815040200948715,0.029311999678611755,15.300959587097168,3.936863899230957,0.056063998490571976,35.71539306640625
0.15,60,1,48072185.0,0.25,23,9.903807640075684,4.787807941436768,1.1177279949188232,0.031168000772595406,16.99849510192871,3.702176094055176,0.07168000191450119,36.01603317260742
0.15,50,1,32976020.0,0.25,24,9.93238353729248,4.574880123138428,1.4989440590143204,0.029664000496268272,16.836544036865234,3.8632960319519043,0.06496000289916992,37.50707244873047
0.2,100,1,32976020.0,0.25,25,9.913503646850586,4.709983825683594,1.3624959588050842,0.03174399957060814,17.711488723754883,5.494976043701172,0.06092799827456474,40.4271354675293
0.2,90,1,32976020.0,0.25,26,9.895520210266113,4.62502384185791,2.1855680346488953,0.028831999748945236,17.041215896606445,4.157472133636475,0.055296000093221664,38.803871154785156
0.2,80,1,32976020.0,0.25,27,9.914848327636719,4.543231964111328,1.254399985074997,0.030719999223947525,16.069055557250977,3.9667840003967285,0.08092799782752991,35.96217727661133
0.2,70,1,20663545.0,0.25,28,9.898752212524414,4.52726411819458,1.434655949473381,0.028543999418616295,15.026016235351562,3.957887887954712,0.05619199946522713,35.867584228515625
0.2,60,1,20663545.0,0.25,29,9.945504188537598,4.631616115570068,1.3338559716939926,0.028095999732613564,16.414432525634766,3.8263680934906006,0.05427199974656105,36.56415939331055
0.2,50,1,20663545.0,0.25,30,9.900192260742188,4.5865278244018555,1.343327984213829,0.028672000393271446,16.02217674255371,4.084959983825684,0.05475199967622757,36.762943267822266
0.25,100,1,12847800.0,0.25,31,9.924384117126465,4.520639896392822,1.1785919815301895,0.028511999174952507,15.45967960357666,4.614367961883545,0.055135998874902725,35.74396896362305
0.25,90,1,12847800.0,0.25,32,9.89583969116211,4.562240123748779,1.424416035413742,0.030208000913262367,16.126399993896484,3.7311360836029053,0.05628800019621849,36.90787124633789
0.25,80,1,12847800.0,0.25,33,9.894816398620605,4.853055953979492,1.406176045536995,0.02921600081026554,16.423583984375,3.964128017425537,0.05584000051021576,36.75795364379883
0.25,70,1,8351070.0,0.25,34,9.91977596282959,4.516160011291504,1.2002560384571552,0.0297279991209507,15.27673625946045,3.3962559700012207,0.05632000043988228,35.903263092041016
0.25,60,1,12847800.0,0.25,35,9.918272018432617,4.696320056915283,1.2350720018148422,0.029279999434947968,16.519168853759766,3.654848098754883,0.05539200082421303,35.6096305847168
0.25,50,1,12847800.0,0.25,36,9.906240463256836,4.594880104064941,1.352447971701622,0.0289280004799366,16.35318374633789,4.006464004516602,0.05507199838757515,36.48992156982422
