video_name,jepg_quality,data_size_mean,data_size_std,cpu_cli_mean,cpu_cli_std,cpu_cli_mem_mean,cpu_cli_mem_std,cpu_edge_mean,cpu_edge_std,cuda_edge_mean,cuda_edge_std,cpu_edge_mem_mean,cpu_edge_mem_std,cuda_edge_mem_mean,cuda_edge_mem_std
b610204c-e3c8c65f,60,29850.52,1031.770696230514,143.60189,46.416786631539885,51.84,43.02899487554874,7.03106,3.0454428670392093,6.5905200000000015,0.0367291382964534,6.4892,0.2262506574576082,81.0597,2.6320305678316123
b610204c-e3c8c65f,70,35345.82,1234.935078293592,145.54488,50.86998634819553,52.08,43.60543085442455,6.649350000000001,2.0042623848937544,6.59128,0.038072057995332954,6.484500000000001,0.2807645810995396,80.98890000000002,2.312542278532437
b610204c-e3c8c65f,80,44312.52,1547.231382049886,145.45381,45.241942707115264,57.36,45.396810460648005,7.478650000000001,3.531703176584918,6.586759999999999,0.03551538258276264,6.5192000000000005,0.3879991752568554,81.66170000000001,3.2558080579174193
b610204c-e3c8c65f,90,64841.98,1908.7964322053829,149.11281999999997,49.41993637417596,60.96,48.88229127199338,7.232330000000001,2.1835898243717846,6.591809999999999,0.04026281038377725,6.494300000000001,0.31947849692897945,81.21280000000002,3.3713341810031223
b610204c-e3c8c65f,100,196723.4,4659.089930447792,148.54628999999997,45.00187902194641,67.68,51.73990336287844,9.74274,4.882356481495385,6.595239999999999,0.03596974284033736,6.504300000000001,0.34040932713426053,82.07379999999999,3.7959367170699765
b4d2dede-18dc0cd0,60,16470.62,476.6953907895481,128.33320000000003,43.06939292629977,1.44,5.699684201778201,6.20263,2.481021227861624,6.51071,0.03443175714366022,6.464699999999999,0.2024719980639298,80.79450000000001,2.5947309590784173
b4d2dede-18dc0cd0,70,19259.62,580.24621980673,127.85213000000002,39.28919938193065,2.4,7.959899496852961,6.210349999999998,1.7948297711760857,6.515750000000001,0.038912819224517725,6.4796000000000005,0.27719999999999995,80.9072,2.4130491416463116
b4d2dede-18dc0cd0,80,24222.9,742.4360376490355,133.97768,36.47297419155176,2.16,7.661227055765938,6.66061,1.8267097738557156,6.51009,0.03766751783699055,6.4598,0.19700751254711069,80.9847,3.136575985051216
b4d2dede-18dc0cd0,90,36991.52,1142.232554955426,131.91546999999997,42.24813409026604,2.4,7.200000000000001,6.6053,2.92674185913278,6.514690000000001,0.047980349102523225,6.484500000000001,0.28076458109953956,81.2555,2.7746388503731443
b4d2dede-18dc0cd0,100,143841.24,3513.792421643601,135.23392,41.43291146170638,1.44,5.699684201778201,9.142660000000001,3.081692986720124,6.50735,0.035826352033105385,6.519000000000001,0.3478146057887735,81.307,3.1110626801785912
b69d5b1d-03bd6daa,60,16575.35,407.42673881324964,140.94184,45.961943540437886,9.6,12.237646832622685,6.93892,4.196993709025545,6.536070000000002,0.05008677569977927,6.464700000000001,0.20247199806392976,80.7125,2.47843151004824
b69d5b1d-03bd6daa,70,19538.87,507.38091519094405,136.30015,44.35852200431727,10.56,11.913286700151222,6.65642,1.7911172333490624,6.5374300000000005,0.04892877578685167,6.4498000000000015,0.0685999999999999,80.72319999999999,2.3965236823365634
b69d5b1d-03bd6daa,80,24705.54,678.7213628581319,138.63955,48.11876031868963,10.56,11.913286700151222,6.6334,2.789006493359239,6.538850000000001,0.041027155641111646,6.440000000000001,8.881784197001252e-16,81.3395,3.064483113022488
b69d5b1d-03bd6daa,90,37705.74,1060.4355107218921,145.96745999999996,51.37551611564014,11.52,11.990396156924925,7.093120000000002,4.217453704025688,6.556799999999999,0.04742172497916964,6.484500000000001,0.3965308941305835,80.9921,2.878817915395137
b69d5b1d-03bd6daa,100,153569.87,3903.2845749573526,144.77035999999998,43.15697189111396,12.0,12.470765814495916,9.5765,4.391146445975128,6.549269999999998,0.046018660345559834,6.464700000000001,0.20247199806392976,81.3687,3.207121031392486
b607dd6a-1d8f33b9,60,24317.77,902.1161771634517,151.37483,50.27078130307008,59.28,23.626290440947347,7.085020000000001,3.48458467820772,6.6052300000000015,0.03098511094057917,6.4645,0.10679302411674636,81.1189,2.743674140636967
b607dd6a-1d8f33b9,70,28905.79,1078.0881623967496,148.21674,48.345438494157854,59.52,25.50783409072593,7.0810699999999995,2.6995365389451575,6.608499999999999,0.03110128614703901,6.499199999999999,0.2907014963841775,81.3905,2.7886098239086796
b607dd6a-1d8f33b9,80,36612.42,1376.294039658677,148.32552,45.76688426831785,59.28,27.459817916366454,7.19992,2.3240757848228615,6.609099999999997,0.03129041386750896,6.484500000000001,0.3134210426885853,81.42660000000001,2.723585585216664
b607dd6a-1d8f33b9,90,54902.22,2032.897319492551,145.61690000000002,46.45448908114263,59.52,27.465061441766338,7.81218,3.505546132573354,6.612219999999999,0.034231149557092,6.4498,0.06859999999999991,82.0793,3.4074894732045764
b607dd6a-1d8f33b9,100,192338.8,7725.046745489635,149.97946,43.804090838053014,59.76,25.958859759242124,10.355510000000004,4.032422679965482,6.607310000000001,0.034464095809987536,6.469600000000001,0.20767724959657946,81.5515,2.9304816583626647
b5f9cb1e-c84e2ce9,60,29400.53,341.9478455846739,147.02076,46.35701949524365,59.28,27.459817916366454,6.95285,2.1684624616303596,6.6073200000000005,0.03442408459204103,6.440000000000001,8.881784197001252e-16,81.84190000000001,4.0273660610875694
b5f9cb1e-c84e2ce9,70,35015.09,416.75151097506534,152.7335,46.81018310955427,63.12,27.91747839615892,7.300919999999999,3.609951929541445,6.610569999999999,0.029849038510478015,6.4449000000000005,0.04875438441822429,81.028,2.673782339682869
b5f9cb1e-c84e2ce9,80,44215.22,538.8765829018737,147.20435999999998,47.59445896856482,62.4,28.799999999999997,7.7322799999999985,2.7109878018168945,6.60524,0.03308870502150248,6.489400000000001,0.2841999999999999,80.9622,2.6019487235531753
b5f9cb1e-c84e2ce9,90,65257.76,1004.7803752064428,155.90547000000004,63.38251405039958,68.64,29.397795835742517,7.9579200000000005,2.7184979296663077,6.60976,0.03092413943830933,6.4598,0.19700751254711069,80.9603,2.666962487550209
b5f9cb1e-c84e2ce9,100,209532.59,6391.804530952117,152.49059,47.214465929859884,73.44,30.13314454218145,11.551739999999997,5.464826133775896,6.61085,0.029576468687116792,6.5192000000000005,0.38799917525685534,81.2463,3.3186080380183496
