pruning_thresh,quality,technique,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr
0.15,80,1,168,-1,-1,-1,-1,10946,11690,12.71572232246399
0.15,80,1,169,-1,-1,-1,-1,12150,12894,12.852885723114014
0.15,80,1,170,-1,-1,-1,-1,9020,9764,12.813165187835693
0.15,80,1,171,-1,-1,-1,-1,10318,11062,12.840118408203125
0.15,80,1,172,-1,-1,-1,-1,9305,10049,12.822517156600952
0.15,80,1,173,-1,-1,-1,-1,10200,10944,12.929991483688354
0.15,80,1,174,-1,-1,-1,-1,11263,12007,13.023900985717773
0.15,80,1,175,-1,-1,-1,-1,9212,9956,12.981151342391968
0.15,80,1,176,-1,-1,-1,-1,10172,10916,12.999861240386963
0.15,80,1,177,-1,-1,-1,-1,6580,7324,12.82632827758789
0.15,80,1,178,-1,-1,-1,-1,8978,9722,12.823456525802612
0.15,80,1,179,-1,-1,-1,-1,8657,9401,12.814669609069824
0.15,80,1,180,-1,-1,-1,-1,9007,9751,12.804594039916992
0.15,80,1,181,-1,-1,-1,-1,6977,7721,12.490179538726807
0.15,80,1,182,-1,-1,-1,-1,9710,10454,12.552862167358398
0.15,80,1,183,-1,-1,-1,-1,9504,10248,12.61210560798645
0.15,80,1,184,-1,-1,-1,-1,11129,11873,12.768973112106323
0.15,80,1,185,-1,-1,-1,-1,9407,10151,12.809312343597412
0.15,80,1,186,-1,-1,-1,-1,11367,12111,12.941709756851196
0.15,80,1,187,-1,-1,-1,-1,11584,12328,13.055838346481323
0.15,80,1,188,-1,-1,-1,-1,9288,10032,13.02370548248291
0.15,80,1,189,-1,-1,-1,-1,7463,8207,12.901363372802734
0.15,80,1,190,-1,-1,-1,-1,8297,9041,12.873644828796387
0.15,80,1,191,-1,-1,-1,-1,8628,9372,12.868919372558594
0.15,80,1,192,-1,-1,-1,-1,9699,10443,12.90250301361084
0.15,80,1,193,-1,-1,-1,-1,9082,9826,12.876396179199219
0.15,80,1,194,-1,-1,-1,-1,9487,10231,12.917594909667969
0.15,80,1,195,-1,-1,-1,-1,9247,9991,12.883710861206055
0.15,80,1,196,-1,-1,-1,-1,10319,11063,12.908214330673218
0.15,80,1,197,-1,-1,-1,-1,8048,8792,12.881197929382324
0.15,80,1,198,-1,-1,-1,-1,11431,12175,12.844449281692505
0.15,80,1,199,-1,-1,-1,-1,10578,11322,12.93936014175415
0.15,80,1,200,-1,-1,-1,-1,6389,7133,12.64939546585083
