video_name,pruning_thresh,jepg_quality,data_size_mean,data_size_std,cpu_cli_mean,cpu_cli_std,cpu_cli_mem_mean,cpu_cli_mem_std,cuda_cli_mem_mean,cuda_cli_mem_std,cpu_edge_mean,cpu_edge_std,cuda_edge_mean,cuda_edge_std,cpu_edge_mem_mean,cpu_edge_mem_std,cuda_edge_mem_mean,cuda_edge_mem_std
b4c0a877-66fc6239,0.05,60,10314.44,2431.3604065214186,76.97368,22.421495406363956,6.519999999999997,2.6645352591003757e-15,71.69079999999998,0.6716899284640206,1.9463,0.197302939663858,3.8131399999999984,0.041674457404986084,2.16e-06,7.661227055765938e-06,15.945799999999998,0.5301852129209188
b4c0a877-66fc6239,0.05,70,12693.55,3003.7346566399633,78.11539,24.020668233791916,6.519999999999997,2.6645352591003757e-15,71.7152,0.647732166871464,2.1148700000000002,0.9239281644695112,3.8212099999999993,0.04253405576711445,3.36e-06,1.0193645079165747e-05,15.874500000000001,0.4370042905967858
b4c0a877-66fc6239,0.05,80,16295.19,3280.9402514980366,78.99508,23.20196867926513,6.519999999999997,2.6645352591003757e-15,71.64119999999998,0.4945084023553089,2.06206,0.19909187929194902,3.82199,0.04083417563757106,3.1199999999999998e-06,9.985269150103064e-06,15.850900000000001,0.3946975931013514
b4c0a877-66fc6239,0.05,90,23799.38,3443.6422281648247,79.12480000000001,22.183858728814513,6.519999999999997,2.6645352591003757e-15,71.8406,1.0828128370129348,2.1056299999999997,0.1421389218335358,3.8201400000000003,0.04332297773699312,3.3600000000000004e-06,1.0193645079165746e-05,15.807,0.49995899831886187
b4c0a877-66fc6239,0.05,100,55287.29,4540.228589608678,81.72945,22.122884726624147,6.519999999999997,2.6645352591003757e-15,71.62559999999999,0.7473397085663253,2.49347,0.9035177082381948,3.8236299999999996,0.04086065466925365,3.36e-06,9.611992509360378e-06,15.829299999999998,0.4741376487898844
b49a1b50-186fb520,0.05,60,11213.15,2190.784929540095,67.02638999999999,19.44764783149623,6.524899999999997,0.048754384418224384,71.7888,0.986504211851121,1.8137699999999999,0.35451614504843076,3.76635,0.04257284932912055,4.800000000000001e-07,4.7759396981117746e-06,15.831799999999998,0.5074886796767001
b49a1b50-186fb520,0.05,70,13837.68,2416.7121255126763,67.21993,17.69551106199253,6.519999999999997,2.6645352591003757e-15,71.81859999999999,0.9992007005602032,1.8951099999999999,0.33288643393806244,3.7651899999999996,0.04111731873554014,7.2e-07,4.094093306215676e-06,15.829099999999999,0.4516261617754228
b49a1b50-186fb520,0.05,80,17903.64,2816.6727339895206,68.91042999999999,19.44810917197608,6.519999999999997,2.6645352591003757e-15,71.81419999999999,0.8876724395856843,1.96339,0.7527511792750643,3.76838,0.04614039011538588,4.800000000000001e-07,3.3600000000000004e-06,15.8955,0.48511519250586277
b49a1b50-186fb520,0.05,90,26197.28,3167.364870298337,69.28502999999999,20.366376955882455,6.519999999999997,2.6645352591003757e-15,71.98599999999999,1.2179655167532455,2.03125,0.7749920564109029,3.764900000000001,0.042387616116030855,4.800000000000001e-07,3.360000000000001e-06,15.872700000000002,0.47594927250706076
b49a1b50-186fb520,0.05,100,59698.1,4844.425273445758,70.25497999999999,18.770956995838013,6.519999999999997,2.6645352591003757e-15,71.85379999999999,1.0720660240862037,2.22105,0.23641418633406922,3.7713999999999994,0.04099024274141346,9.600000000000001e-07,4.703020306143702e-06,15.875700000000002,0.44778399926750423
