pruning_thresh,quality,technique,bandwidth,drop,frame_id,sparsity,decomposability,regularity,pictoriality,compression_ratio,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr,consumed_bw
0.25,1,2,8880000.000000002,0.2,15,0.9914594119822485,-1,-1,-1,13.0,26624,103914,13.168907165527344,-1,-1,-1
0.25,5,3,8880000.000000002,0.2,16,0.990442400147929,-1,-1,-1,209.25755743651754,1654,201077,12.451422214508057,-1,-1,-1
0.15,60,1,6000000.0,0.2,17,0.9135771079881657,-1,-1,-1,138.1684630738523,2505,3249,11.392209529876709,-1,-1,-1
0.25,1,2,6000000.0,0.2,18,0.993435650887574,-1,-1,-1,13.0,26624,117258,10.785820484161377,-1,-1,-1
0.2,60,1,6000000.0,0.2,19,0.9763775887573964,-1,-1,-1,135.41158059467918,2556,3300,9.955228567123413,-1,-1,-1
0.15,4,3,6000000.0,0.4,20,0.9222679363905325,-1,-1,-1,25.729408266428784,13452,258633,10.409307479858398,-1,-1,-1
0.15,100,1,6000000.0,0.4,21,0.9369683801775148,-1,-1,-1,9.216136333377714,37555,38299,12.216541767120361,-1,-1,-1
0,100,1,6000000.0,0.4,22,0.0,-1,-1,-1,7.842831569644921,44131,44875,31.346988677978516,-1,-1,-1
0.2,4,2,6000000.0,0.4,23,0.9566036427514792,-1,-1,-1,3.25,106496,206780,17.22698211669922,-1,-1,-1
0.25,70,1,6000000.0,0.4,24,0.9833002034023669,-1,-1,-1,140.81041497152157,2458,3202,13.06292176246643,-1,-1,-1
0.15,3,3,6000000.0,0.4,25,0.9036843565088757,-1,-1,-1,20.765058795296376,16668,257609,11.866320371627808,-1,-1,-1
0,90,1,6000000.0,0.4,26,6.934171597633136e-05,-1,-1,-1,30.049661399548533,11518,12262,16.141695976257324,-1,-1,-1
0.1,100,1,6000000.0,0.4,27,0.7932345599112426,-1,-1,-1,8.590305527288972,40291,41035,18.945674896240234,-1,-1,-1
0.1,3,2,6000000.0,0.4,28,0.7671158468934911,-1,-1,-1,4.333333333333333,79872,197124,16.644827127456665,-1,-1,-1
0.1,1,2,6000000.0,0.4,29,0.7826599482248521,-1,-1,-1,13.0,26624,142843,13.87117862701416,-1,-1,-1
0.25,2,2,6000000.0,0.4,30,0.9854613535502958,-1,-1,-1,6.5,53248,131583,12.299987077713013,-1,-1,-1
0.05,4,2,6000000.0,0.4,31,0.5144461908284024,-1,-1,-1,3.25,106496,224260,16.381772756576538,-1,-1,-1
0.25,3,2,6000000.0,0.4,32,0.9834388868343196,-1,-1,-1,4.333333333333333,79872,147963,13.242090940475464,-1,-1,-1
0.1,1,3,6000000.0,0.4,33,0.7868551220414202,-1,-1,-1,9.383289052757144,36886,255561,11.942692995071411,-1,-1,-1
0,60,1,6000000.0,0.4,34,1.1556952662721893e-05,-1,-1,-1,107.45482769326296,3221,3965,11.31645917892456,-1,-1,-1
0.15,80,1,6000000.0,0.4,35,0.9136695636094675,-1,-1,-1,62.497652582159624,5538,6282,10.986758470535278,-1,-1,-1
0.15,90,1,6000000.0,0.4,36,0.9143745377218935,-1,-1,-1,32.919155411831845,10514,11258,11.351666450500488,-1,-1,-1
0.1,100,1,6000000.0,0.4,37,0.7504044933431953,-1,-1,-1,7.0581805575381855,49037,49781,15.582892894744873,-1,-1,-1
0.05,4,3,6000000.0,0.4,38,0.4511140902366864,-1,-1,-1,3.6437444729860613,94988,258633,13.149499893188477,-1,-1,-1
0.2,3,3,6000000.0,0.4,39,0.9729567307692307,-1,-1,-1,73.95555555555555,4680,253601,11.790571212768555,-1,-1,-1
0.05,5,2,6000000.0,0.4,40,0.5516595784023669,-1,-1,-1,2.6,133120,251396,16.53244972229004,-1,-1,-1
0.2,80,1,6000000.0,0.4,41,0.9592386279585798,-1,-1,-1,73.6251861306105,4701,5445,12.39396333694458,-1,-1,-1
0.2,90,1,6000000.0,0.4,42,0.9618389423076923,-1,-1,-1,63.65863527680706,5437,6181,11.125818490982056,-1,-1,-1
0.2,1,2,6000000.0,0.4,43,0.964138775887574,-1,-1,-1,13.0,26624,136171,10.200365781784058,-1,-1,-1
0,2,3,6000000.0,0.4,44,0.0,-1,-1,-1,2.0,173056,256585,10.236992835998535,-1,-1,-1
0,1,3,6000000.0,0.4,45,0.0,-1,-1,-1,2.0,173056,255561,10.334810018539429,-1,-1,-1
