frame_id,bandwidth,drop,target_fps,technique,feasibility,target_cmp,target_snr,est_cmp,est_snr,pruning_thresh,quality,jpeg_F,decom_F,reg_F,opt_time
64,8880000.000000002,0.2,5,3,-1,-1,-1,-1,-1,0.25,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.071521
65,8880000.000000002,0.2,5,3,-1,-1,-1,-1,-1,0.15,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.063906
66,8880000.000000002,0.2,5,1,-1,-1,-1,-1,-1,0.15,80,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.066881
67,8880000.000000002,0.2,5,2,-1,-1,-1,-1,-1,0.15,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.061569
68,8880000.000000002,0.2,5,1,-1,-1,-1,-1,-1,0.25,70,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.065602
69,8880000.000000002,0.2,5,3,-1,-1,-1,-1,-1,0.05,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.103106
70,8880000.000000002,0.2,5,2,-1,-1,-1,-1,-1,0.05,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.07517
71,8880000.000000002,0.2,5,2,-1,-1,-1,-1,-1,0.05,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.398793
72,8880000.000000002,0.2,5,3,-1,-1,-1,-1,-1,0.25,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.537067
73,8880000.000000002,0.2,5,3,-1,-1,-1,-1,-1,0,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.067105
74,8880000.000000002,0.2,5,3,-1,-1,-1,-1,-1,0.05,1,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.054625
75,8880000.000000002,0.2,5,2,-1,-1,-1,-1,-1,0.1,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.060641
76,8880000.000000002,0.2,5,2,-1,-1,-1,-1,-1,0,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.065601
77,8880000.000000002,0.2,5,2,-1,-1,-1,-1,-1,0.25,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.062305
78,8880000.000000002,0.2,5,2,-1,-1,-1,-1,-1,0.15,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.062913
79,8880000.000000002,0.2,5,1,-1,-1,-1,-1,-1,0.2,60,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.065089
80,8880000.000000002,0.2,5,3,-1,-1,-1,-1,-1,0.2,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.065761
81,8880000.000000002,0.2,5,3,-1,-1,-1,-1,-1,0.1,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.056545
82,8880000.000000002,0.2,5,1,-1,-1,-1,-1,-1,0.1,60,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.071842
83,8880000.000000002,0.2,5,2,-1,-1,-1,-1,-1,0.2,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.065313
84,8880000.000000002,0.2,5,1,-1,-1,-1,-1,-1,0.05,90,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.064993
85,8880000.000000002,0.2,5,1,-1,-1,-1,-1,-1,0.25,90,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.056769
86,8880000.000000002,0.2,5,1,-1,-1,-1,-1,-1,0,70,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.059425
87,8880000.000000002,0.2,5,2,-1,-1,-1,-1,-1,0.25,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.060993
88,6000000.0,0.2,5,2,-1,-1,-1,-1,-1,0.05,1,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.299527
89,6000000.0,0.2,5,2,-1,-1,-1,-1,-1,0.2,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.072482
90,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0.2,70,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.070242
91,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.2,1,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.066402
92,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.15,1,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.067233
93,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0.05,80,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.058497
94,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0.15,60,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.065794
95,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.05,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.056481
96,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0.25,60,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.07405
97,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0.1,60,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.076065
98,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0.05,60,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.07853
99,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.08381
100,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.2,1,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.066849
101,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.068386
102,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.25,1,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.051873
103,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.1,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.058401
104,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0,3,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.052673
105,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.1,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.058977
106,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.217477
107,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0.1,90,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.066593
108,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.1,3,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.072578
109,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0.15,100,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.070241
110,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0.25,80,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.065218
111,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.074754
112,8880000.000000002,0.4,5,1,-1,-1,-1,-1,-1,0.25,60,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.066273
113,8880000.000000002,0.4,5,1,-1,-1,-1,-1,-1,0.1,80,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.063938
114,8880000.000000002,0.4,5,2,-1,-1,-1,-1,-1,0.25,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.078978
115,8880000.000000002,0.4,5,1,-1,-1,-1,-1,-1,0,80,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.060481
116,8880000.000000002,0.4,5,1,-1,-1,-1,-1,-1,0.05,70,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.061121
117,8880000.000000002,0.4,5,1,-1,-1,-1,-1,-1,0.05,100,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.061409
118,8880000.000000002,0.4,5,2,-1,-1,-1,-1,-1,0.05,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.060514
119,8880000.000000002,0.4,5,1,-1,-1,-1,-1,-1,0.25,80,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.062817
120,8880000.000000002,0.2,5,1,-1,-1,-1,-1,-1,0,70,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.063265
121,8880000.000000002,0.2,5,3,-1,-1,-1,-1,-1,0.15,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.067714
122,8880000.000000002,0.2,5,3,-1,-1,-1,-1,-1,0.2,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.06189
123,8880000.000000002,0.2,5,1,-1,-1,-1,-1,-1,0.2,70,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.053857
124,8880000.000000002,0.2,5,1,-1,-1,-1,-1,-1,0.05,70,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.067074
125,8880000.000000002,0.2,5,1,-1,-1,-1,-1,-1,0.05,80,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.05949
126,8880000.000000002,0.2,5,2,-1,-1,-1,-1,-1,0,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.063362
127,8880000.000000002,0.2,5,3,-1,-1,-1,-1,-1,0.15,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.064481
128,8880000.000000002,0.2,5,2,-1,-1,-1,-1,-1,0.15,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.062498
129,8880000.000000002,0.2,5,3,-1,-1,-1,-1,-1,0.1,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.055873
130,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.2,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.062049
131,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.2,3,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.057281
132,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.05,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.052225
133,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0.25,100,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.320007
134,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.25,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.061217
135,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.25,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.089794
136,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0,1,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.053985
137,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.1,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.064545
138,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.05,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.064002
139,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.25,3,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.151428
140,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.05,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.047489
141,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.1,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.049761
142,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0,3,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.104035
143,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.15,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.063234
