time,signal,rx bitrate, tx bitrate,mcs_number_rx,mcs_number_tx,bandwidth_tx,bandwidth_rx,connections,bitrate1 5G,bitrate2 5G
33.923279078,-37dBm,57.8_MBit/s_MCS_5_short_GI___,130.0_MBit/s_MCS_14_short_GI___,5,14,130,57.8,4,156.6,27.4
33.927808003,-37dBm,65.0_MBit/s_MCS_6_short_GI___,130.0_MBit/s_MCS_14_short_GI___,6,14,130,65,4,156.6,36.7
33.939475413,-37dBm,72.2_MBit/s_MCS_7_short_GI___,130.0_MBit/s_MCS_14_short_GI___,7,14,130,72.2,4,156.6,46.1
33.944382791,-38dBm,65.0_MBit/s_MCS_6_short_GI___,130.0_MBit/s_MCS_14_short_GI___,6,14,130,65,4,156.6,36.7
33.949241271,-39dBm,65.0_MBit/s_MCS_6_short_GI___,130.0_MBit/s_MCS_14_short_GI___,6,14,130,65,4,156.6,36.7
33.97689296,-37dBm,58.5_MBit/s_MCS_6_____,130.0_MBit/s_MCS_14_short_GI___,6,14,130,58.5,4,156.6,36.7
34.093347649,-39dBm,57.8_MBit/s_MCS_5_short_GI___,130.0_MBit/s_MCS_14_short_GI___,5,14,130,57.8,4,156.6,27.4
34.193209558,-38dBm,57.8_MBit/s_MCS_5_short_GI___,130.0_MBit/s_MCS_14_short_GI___,5,14,130,57.8,4,156.6,27.4
34.288773604,-37dBm,43.3_MBit/s_MCS_4_short_GI___,130.0_MBit/s_MCS_14_short_GI___,4,14,130,43.3,4,156.6,18.8
34.460875112,-36dBm,43.3_MBit/s_MCS_4_short_GI___,130.0_MBit/s_MCS_14_short_GI___,4,14,130,43.3,4,156.6,18.8
34.503636262,-36dBm,57.8_MBit/s_MCS_5_short_GI___,130.0_MBit/s_MCS_14_short_GI___,5,14,130,57.8,4,156.6,27.4
34.932834939,-36dBm,65.0_MBit/s_MCS_6_short_GI___,130.0_MBit/s_MCS_14_short_GI___,6,14,130,65,4,156.6,36.7
35.287624416,-39dBm,72.2_MBit/s_MCS_7_short_GI___,130.0_MBit/s_MCS_14_short_GI___,7,14,130,72.2,4,156.6,46.1
35.297462893,-38dBm,72.2_MBit/s_MCS_7_short_GI___,130.0_MBit/s_MCS_14_short_GI___,7,14,130,72.2,4,156.6,46.1
35.355490889,-42dBm,72.2_MBit/s_MCS_7_short_GI___,130.0_MBit/s_MCS_14_short_GI___,7,14,130,72.2,4,156.6,46.1
35.366125331,-44dBm,72.2_MBit/s_MCS_7_short_GI___,130.0_MBit/s_MCS_14_short_GI___,7,14,130,72.2,4,156.6,46.1
35.736383817,-37dBm,86.7_MBit/s_MCS_12_short_GI___,130.0_MBit/s_MCS_14_short_GI___,12,14,130,86.7,4,156.6,121.6
35.775307241,-37dBm,115.6_MBit/s_MCS_13_short_GI___,130.0_MBit/s_MCS_14_short_GI___,13,14,130,115.6,4,156.6,141.4
35.820361046,-38dBm,130.0_MBit/s_MCS_14_short_GI___,130.0_MBit/s_MCS_14_short_GI___,14,14,130,130,4,156.6,156.6
35.823695552,-39dBm,144.4_MBit/s_MCS_15_short_GI___,130.0_MBit/s_MCS_14_short_GI___,15,14,130,144.4,4,156.6,173.6
35.893412705,-39dBm,130.0_MBit/s_MCS_14_short_GI___,130.0_MBit/s_MCS_14_short_GI___,14,14,130,130,4,156.6,156.6
35.93988425,-40dBm,144.4_MBit/s_MCS_15_short_GI___,130.0_MBit/s_MCS_14_short_GI___,15,14,130,144.4,4,156.6,173.6
36.013713069,-39dBm,115.6_MBit/s_MCS_13_short_GI___,130.0_MBit/s_MCS_14_short_GI___,13,14,130,115.6,4,156.6,141.4
36.496809352,-38dBm,115.6_MBit/s_MCS_13_short_GI___,130.0_MBit/s_MCS_14_short_GI___,13,14,130,115.6,4,156.6,141.4
36.502083611,-38dBm,86.7_MBit/s_MCS_12_short_GI___,130.0_MBit/s_MCS_14_short_GI___,12,14,130,86.7,4,156.6,121.6
