pruning_thresh,target_sparsity,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
0.001,0.0,70,1,11327937.299876085,40,31,0.011210244082840236,-1,-1,-1,6559,7303,18.23480248451233,40.7384552412481,20
0.001,0.0,79,1,10751432.18135031,40,32,0.010886649408284023,-1,-1,-1,6253,6997,18.086156845092773,42.92290170114875,20
0.001,0.0,82,1,10191677.228446962,40,33,0.01086353550295858,-1,-1,-1,14753,15497,20.558407306671143,45.28034555279856,20
0.001,0.0,84,1,9650879.299705038,40,34,0.01037814349112426,-1,-1,-1,10376,11120,20.30052661895752,47.817680890566216,20
0.001,0.0,82,1,9131170.514761407,40,35,0.009673169378698224,-1,-1,-1,7813,8557,20.01911163330078,50.53926721887802,20
0.024000000000000014,0.23,61,1,8634599.84837528,40,36,0.2378536427514793,-1,-1,-1,3623,4367,18.314650058746338,53.445750210822,20
0.037000000000000026,0.35,74,1,8163125.0522550605,40,37,0.35517982618343197,-1,-1,-1,6811,7555,18.29765796661377,56.53259795881508,20
0.014000000000000005,0.13,67,1,7718604.936536042,40,38,0.13364460059171598,-1,-1,-1,3632,4376,17.198816537857056,59.78835171136134,20
0.02100000000000001,0.2,72,1,7302792.041339656,40,39,0.2021195451183432,-1,-1,-1,6604,7348,17.4868905544281,63.19263427663076,20
0.016000000000000007,0.15,80,1,6917325.727306897,40,40,0.15685096153846154,-1,-1,-1,6367,7111,17.146406173706055,66.71402863752874,20
0.01800000000000001,0.17,75,1,6563725.712346841,40,41,0.17566568047337278,-1,-1,-1,7385,8129,17.400277853012085,70.30803645536018,20
0.014000000000000005,0.13,68,1,6243386.080081886,40,42,0.13804779955621302,-1,-1,-1,5516,6260,16.90680980682373,73.9154460011568,20
0.07000000000000005,0.6,69,1,5957569.783611743,40,43,0.6021981323964497,-1,-1,-1,7076,7820,16.54353976249695,77.46156292388328,20
0.08700000000000006,0.69,61,1,5707403.666265227,40,44,0.6919494267751479,-1,-1,-1,2915,3659,15.127731561660767,80.85684729018803,20
0.09600000000000007,0.74,60,1,5493874.018970845,40,45,0.7420257026627219,-1,-1,-1,4316,5060,14.582839012145996,83.99949927375931,20
0.05100000000000004,0.44,60,1,5317822.691761389,40,46,0.4439141087278107,-1,-1,-1,6149,6893,14.957404136657715,86.78037862782007,20
