pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
90,0.2,1,19070540.71328818,20,26,-1,-1,-1,-1,5551,6295,9.130625128746033,29.038463477552664,30
80,0.2,1,18132800.960062645,20,27,-1,-1,-1,-1,3105,3849,8.754065036773682,30.54019074161209,30
70,0.2,1,17202422.721235376,20,28,-1,-1,-1,-1,2651,3395,8.217391967773438,32.191930693366366,30
60,0.2,1,16283074.053962823,20,29,-1,-1,-1,-1,2429,3173,7.645878791809082,34.00949956775676,30
50,0.2,1,15378379.530830115,20,30,-1,-1,-1,-1,2009,2753,7.159140706062317,36.01024405008343,30
100,0.25,1,14491905.949814126,20,31,-1,-1,-1,-1,12143,12887,7.156679034233093,38.21299985783463,30
90,0.25,1,13627148.272025462,20,32,-1,-1,-1,-1,3201,3945,6.891538500785828,40.63793751601188,30
80,0.25,1,12787515.842670444,20,33,-1,-1,-1,-1,2560,3304,6.67496383190155,43.30623764719834,30
70,0.25,1,11976318.949557556,20,34,-1,-1,-1,-1,1918,2662,6.397563219070435,46.23951669393862,30
60,0.25,1,11196755.77214211,20,35,-1,-1,-1,-1,1836,2580,5.882774591445923,49.4588978512705,30
50,0.25,1,10451899.77256292,20,36,-1,-1,-1,-1,1705,2449,5.36190390586853,52.98359265305195,30
100,0.35,1,9744687.57838259,20,37,-1,-1,-1,-1,2723,3467,5.178660750389099,56.82883063675557,30
90,0.35,1,9077907.404804064,20,38,-1,-1,-1,-1,1769,2513,4.968240559101105,61.00295754360062,30
80,0.35,1,8454188.062009484,20,39,-1,-1,-1,-1,1593,2337,4.784880578517914,65.50353457223328,30
70,0.35,1,7875988.590960344,20,40,-1,-1,-1,-1,1489,2233,4.659482538700104,70.3123415688539,30
60,0.35,1,7345588.568520261,20,41,-1,-1,-1,-1,1506,2250,4.2287033796310425,75.38935714058874,30
50,0.35,1,6865079.120122829,20,42,-1,-1,-1,-1,1448,2192,3.7171801924705505,80.66610599967737,30
100,0,1,6436354.675417615,20,43,-1,-1,-1,-1,51531,52275,29.88837957382202,86.03926103001288,30
90,0,1,6061105.49939784,20,44,-1,-1,-1,-1,10133,10877,20.821826457977295,91.3660387622385,30
80,0,1,5740811.028456267,20,45,-1,-1,-1,-1,5668,6412,16.731109619140625,96.46358280302321,30
70,0,1,5476734.037642086,20,46,-1,-1,-1,-1,4057,4801,13.810219764709473,101.11486082651187,30
60,0,1,5269915.662114728,20,47,-1,-1,-1,-1,2815,3559,11.65435791015625,105.08312381184821,30
50,0,1,5121171.292422662,20,48,-1,-1,-1,-1,3045,3789,10.911145210266113,108.13526210681088,30
100,0.05,1,5031087.359790262,20,49,-1,-1,-1,-1,45571,46315,22.496962547302246,110.07147369889562,30
90,0.05,1,5000019.0240869075,20,50,-1,-1,-1,-1,8691,9435,19.140876531600952,110.75541859585823,30
80,0.05,1,5028088.773593556,20,51,-1,-1,-1,-1,5833,6577,16.765666007995605,110.13711669299269,30
70,0.05,1,5115185.942087313,20,52,-1,-1,-1,-1,4434,5178,14.392306804656982,108.26179268353708,30
60,0.05,1,5260967.145147875,20,53,-1,-1,-1,-1,3417,4161,12.61924147605896,105.26186245256135,30
50,0.05,1,5464857.633965731,20,54,-1,-1,-1,-1,3227,3971,10.330365896224976,101.33460688126549,30
100,0.1,1,5726053.561314635,20,55,-1,-1,-1,-1,43973,44717,13.675308227539062,96.71219349769036,30
90,0.1,1,6043525.150754677,20,56,-1,-1,-1,-1,12668,13412,13.498892784118652,91.63181854730058,30
