pruning_thresh,target_sparsity,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
0.001,0.0,85,1,11327937.299876085,40,31,0.01055149778106509,-1,-1,-1,13058,13802,21.05459451675415,40.7384552412481,20
0.001,0.0,72,1,10751432.18135031,40,32,0.009650055473372781,-1,-1,-1,3320,4064,19.000321626663208,42.92290170114875,20
0.009000000000000001,0.09,60,1,10191677.228446962,40,33,0.09350730399408284,-1,-1,-1,4366,5110,17.42538571357727,45.28034555279856,20
0.003,0.02,65,1,9650879.299705038,40,34,0.03002496301775148,-1,-1,-1,4997,5741,17.000408172607422,47.817680890566216,20
0.002,0.01,68,1,9131170.514761407,40,35,0.01977394600591716,-1,-1,-1,5344,6088,16.968724727630615,50.53926721887802,20
0.002,0.01,69,1,8634599.84837528,40,36,0.020363350591715977,-1,-1,-1,6527,7271,17.069950103759766,53.445750210822,20
0.002,0.01,69,1,8163125.0522550605,40,37,0.01988951553254438,-1,-1,-1,6288,7032,16.916242837905884,56.53259795881508,20
0.002,0.01,71,1,7718604.936536042,40,38,0.0202708949704142,-1,-1,-1,4720,5464,16.47117018699646,59.78835171136134,20
0.001,0.01,68,1,7302792.041339656,40,39,0.010204789201183432,-1,-1,-1,6375,7119,16.522473096847534,63.19263427663076,20
0.002,0.01,68,1,6917325.727306897,40,40,0.020166882396449703,-1,-1,-1,3467,4211,15.635290145874023,66.71402863752874,20
0.003,0.03,68,1,6563725.712346841,40,41,0.030048076923076924,-1,-1,-1,5631,6375,15.745346546173096,70.30803645536018,20
0.003,0.02,68,1,6243386.080081886,40,42,0.030706823224852072,-1,-1,-1,7642,8386,16.389272212982178,73.9154460011568,20
0.003,0.02,65,1,5957569.783611743,40,43,0.02960891272189349,-1,-1,-1,6270,7014,16.116255521774292,77.46156292388328,20
0.003,0.03,74,1,5707403.666265227,40,44,0.030441013313609468,-1,-1,-1,4764,5508,15.595691204071045,80.85684729018803,20
0.004,0.03,70,1,5493874.018970845,40,45,0.04026442307692308,-1,-1,-1,7166,7910,15.84483027458191,83.99949927375931,20
0.003,0.03,68,1,5317822.691761389,40,46,0.030949519230769232,-1,-1,-1,7082,7826,15.723928213119507,86.78037862782007,20
0.08800000000000006,0.7,63,1,5179943.774743153,40,47,0.7029632026627219,-1,-1,-1,4055,4799,14.771628379821777,89.09028490170229,20
